INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128021455', 5, 1, 300, 1);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128021455', 11, 1, 250, 2);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128022201', 5, 1, 300, 1);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128022201', 6, 1, 350, 2);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128022201', 7, 1, 400, 3);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128022201', 10, 1, 150, 4);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128022600', 5, 1, 300, 1);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128022600', 11, 1, 250, 2);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128035019', 6, 2, 350, 1);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128035019', 1, 2, 100, 2);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128043201', 5, 1, 300, 1);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128044309', 6, 2, 350, 1);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128044309', 5, 1, 300, 2);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130128044309', 10, 1, 150, 3);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130129100726', 5, 1, 300, 1);
INSERT INTO APP.PURCHASE_ITEMS (PURCHASE_REFNO, PRODUCT_ID, QUANTITY, PRICE, SRNO) VALUES ('P-20130129100726', 11, 1, 250, 2);
